"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=57&matchBoolean%3Dtrue%26rowsPerPage%3D50%26searchField%3DSearch_All%26queryText%3D%28%28%28%28%28static%29+AND+code%29+AND+analysis%29+AND+software%29+AND+visualization%29",2014/10/23 18:15:41
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Support for Static Concept Location with sv3D","Xinrong Xie; Poshyvanyk, D.; Marcus, A.","Dept. of Comput. Sci., Wayne State Univ., Detroit, MI","Visualizing Software for Understanding and Analysis, 2005. VISSOFT 2005. 3rd IEEE International Workshop on","0-0 0","2005","","","1","6","The paper presents a new visualization approach to support static concept location in source code. The approach is realized through the combination of two existing tools: IRiSS, which is an information retrieval based tool that support source code searching and browsing; and sv3D, which is a software visualization front end. Both tools are integrated into MS Visual Studio .NET. The motivation behind the approach, the definition of the visual mappings, and usage examples are also presented in the paper, together with an outline of future and related work","","0-7803-9540-9","","10.1109/VISSOF.2005.1684315","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684315","","Application software;Containers;Data visualization;Displays;Filtering;Information retrieval;Software engineering;Software metrics;Software systems;Software tools","data flow analysis;information retrieval;network operating systems;program visualisation;software engineering","IRiSS tool;MS Visual Studio .NET;information retrieval;software visualization front end;source code browsing;source code searching;source code static concept location support;sv3D tool;visual mappings","","","","0","","16","","","20061009","","IEEE","","IEEE Conference Publications"
"Move code refactoring with dynamic analysis","Kimura, S.; Higo, Y.; Igaki, H.; Kusumoto, S.","Grad. Sch. of Inf. Sci. &amp; Technol., Osaka Univ., Suita, Japan","Software Maintenance (ICSM), 2012 28th IEEE International Conference on","23-28 Sept. 2012","2012","","","575","578","In order to reduce coupling and increase cohesion, we refactor program source code. Previous research efforts for suggesting candidates of such refactorings are based on static analysis, which obtains relations among classes or methods from source code. However, these approaches cannot obtain runtime information such as repetition count of loop, dynamic dispatch and actual execution path. Therefore, previous approaches might miss some refactoring opportunities. To tackle this problem, we propose a technique to find refactoring candidates by analyzing method traces. We have implemented a prototype tool based on the proposed technique and evaluated the technique on two software systems. As a result, we confirmed that the proposed technique could detect some refactoring candidates, which increase code quality.","1063-6773","978-1-4673-2313-0","","10.1109/ICSM.2012.6405324","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405324","Move Method refactoring;dynamic analysis;refactoring;software maintenance","Cloning;Conferences;Data visualization;Image color analysis;Performance analysis;Software maintenance","program diagnostics;software maintenance;software quality;system monitoring","code quality;dynamic analysis;dynamic dispatch;method traces;program source code refactoring;runtime information;static analysis","","","","0","","8","","","20130110","","IEEE","","IEEE Conference Publications"
"An Eclipse plug-in for the detection of design pattern instances through static and dynamic analysis","De Lucia, A.; Deufemia, V.; Gravino, C.; Risi, M.","Dipt. di Mat. e Inf., Univ. degli Studi di Salerno, Fisciano, Italy","Software Maintenance (ICSM), 2010 IEEE International Conference on","12-18 Sept. 2010","2010","","","1","6","The extraction of design pattern information from software systems can provide conspicuous insight to software engineers on the software structure and its internal characteristics. In this demonstration we present ePAD, an Eclipse plug-in for recovering design pattern instances from object-oriented source code. The tool is able to recover design pattern instances through a structural analysis performed on a data model extracted from source code, and a behavioral analysis performed through the instrumentation and the monitoring of the software system. ePAD is fully configurable since it allows software engineers to customize the design pattern recovery rules and the layout used for the visualization of the recovered instances.","1063-6773","978-1-4244-8630-4","978-1-4244-8628-1","10.1109/ICSM.2010.5609707","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609707","Eclipse plug-in;design pattern recovery;reverse engineering;source code analysis","","object-oriented programming;program diagnostics;software tools","Eclipse plug-in;design pattern detection;design pattern information extraction;design pattern recovery rules;dynamic analysis;ePAD;object-oriented source code;software engineers;software systems;static analysis","","","","1","","22","","","20101025","","IEEE","","IEEE Conference Publications"
"Constellation visualization: Augmenting program dependence with dynamic information","Fang Deng; DiGiuseppe, N.; Jones, J.A.","Dept. of Inf., Univ. of California, Irvine, Irvine, CA, USA","Visualizing Software for Understanding and Analysis (VISSOFT), 2011 6th IEEE International Workshop on","29-30 Sept. 2011","2011","","","1","8","This paper presents a scalable, statement-level visualization that shows related code in a way that supports human interpretation of clustering and context. The visualization is applicable to many software-engineering tasks through the utilization and visualization of problem-specific meta-data. The visualization models statement-level code relations from a system-dependence-graph model of the program being visualized. Dynamic, run-time information is used to augment the static program model to further enable visual cluster identification and interpretation. In addition, we performed a user study of our visualization on an example program domain. The results of the study show that our new visualization successfully revealed relevant context to the programmer participants.","","978-1-4577-0822-0","978-1-4577-0821-3","10.1109/VISSOF.2011.6069453","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069453","","Color;Context;Layout;Scalability;Software;Springs;Visualization","data visualisation;graph theory;meta data;pattern clustering;software engineering","constellation visualization;dynamic run-time information;problem-specific meta-data utilization;problem-specific meta-data visualization;program dependence augmentation;scalable statement-level visualization;software-engineering tasks;statement-level code relations;system-dependence-graph model;visual cluster identification;visual cluster interpretation","","","","2","","15","","","20111103","","IEEE","","IEEE Conference Publications"
"Computation and visualization of cause-effect paths","Dubey, A.; Murthy, P.","Software Dev. Improvement Program, ABB Ltd., Bangalore, India","Automation of Software Test (AST), 2013 8th International Workshop on","18-19 May 2013","2013","","","139","145","Static analyzers detect possible run-time errors at compile-time and often employ data-flow analysis techniques to infer properties of programs. Usually, dataflow analysis tools report possible errors with line numbers in source code and leave the task of locating root causes of errors. This paper proposes a technique to aid developers in locating the root causes of statically identified run-time errors with the help of cause-effect paths. A cause effect path terminates at an erroneous statement and originates at the statement which is responsible for the error. We propose modifications to the classic data-flow analysis algorithm to compute cause-effect paths. We discuss different visualization modes in which cause-effect paths can be displayed. As a case study, we implemented a null pointer analyzer, with the additional capability of cause-effect path computation, using the Microsoft Phoenix framework. In addition, we propose a methodology to automatically generate an analyzer which computes cause-effect paths using a framework such as Microsoft Phoenix.","","","","10.1109/IWAST.2013.6595805","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6595805","Static analysis;cause-effect paths;debugging;visualization","Abstracts;Algorithm design and analysis;Arrays;Indexes;Software;Transfer functions;Visualization","data flow analysis;data visualisation","Microsoft Phoenix framework;cause-effect path computation;cause-effect path visualization;compile-time;data-flow analysis techniques;null pointer analyzer;run-time errors;source code;static analyzers","","","","0","","17","","","20130912","","IEEE","","IEEE Conference Publications"
"Dynamic Trace-Based Data Dependency Analysis for Parallelization of C Programs","Lazarescu, M.T.; Lavagno, L.","Politec. di Torino, Turin, Italy","Source Code Analysis and Manipulation (SCAM), 2012 IEEE 12th International Working Conference on","23-24 Sept. 2012","2012","","","126","131","Writing parallel code is traditionally considered a difficult task, even when it is tackled from the beginning of a project. In this paper, we demonstrate an innovative toolset that faces this challenge directly. It provides the software developers with profile data and directs them to possible top-level, pipeline-style parallelization opportunities for an arbitrary sequential C program. This approach is complementary to the methods based on static code analysis and automatic code rewriting and does not impose restrictions on the structure of the sequential code or the parallelization style, even though it is mostly aimed at coarse-grained task-level parallelization. The proposed toolset has been utilized to define parallel code organizations for a number of real-world representative applications and is based on and is provided as free source.","","978-1-4673-2398-7","","10.1109/SCAM.2012.15","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392110","C program parallelization;C-to-C rewrite;KPN;data dependency analysis;execution trace;graph analysis","Context;Data visualization;Instruments;Libraries;Runtime;Software;Yarn","C language;data analysis;object-oriented programming;parallel programming;pipeline processing;software engineering","C programs;dynamic trace-based data dependency analysis;innovative toolset;parallel code;pipeline-style parallelization;software development","","","","0","","14","","","20121224","","IEEE","","IEEE Conference Publications"
"Synchrovis: 3D visualization of monitoring traces in the city metaphor for analyzing concurrency","Waller, J.; Wulf, C.; Fittkau, F.; Dohring, P.; Hasselbring, W.","Dept. of Comput. Sci., Kiel Univ., Kiel, Germany","Software Visualization (VISSOFT), 2013 First IEEE Working Conference on","27-28 Sept. 2013","2013","","","1","4","The increasing code complexity in modern software systems exceeds the capabilities of most software engineers to understand the system's behavior by just looking at its program code. The addition of concurrency issues through the advent of multi-core processors in the consumer market further escalates this complexity. A solution to these problems is visualizing a model of the system to ease program comprehension. Especially for the comprehension of concurrency issues, static information is often not sufficient. For this purpose, profiling and monitoring can provide additional information on the actual behavior of a system. An established visualization approach is the 3D city metaphor. It utilizes the familiarity with navigating a city to improve program comprehension. In this paper, we present our trace-based SynchroVis 3D visualization approach for concurrency. It employs the city metaphor to visualize both static and dynamic properties of software systems with a focus on illustrating the concurrent behavior. To evaluate our approach, we provide an open source implementation of our concepts and present an exemplary dining philosophers scenario showing its feasibility.","","","","10.1109/VISSOFT.2013.6650520","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650520","","Buildings;Cities and towns;Concurrent computing;Monitoring;Software systems;Three-dimensional displays;Visualization","concurrency control;data visualisation","3D city metaphor;Synchrovis;code complexity;concurrency issues;concurrent behavior;consumer market;dining philosophers scenario;modern software systems;monitoring traces;multicore processors;program code;software engineers;static information;trace based SynchroVis 3D visualization","","","","0","","15","","","20131031","","IEEE","","IEEE Conference Publications"
"Detecting Security Vulnerabilities with Software Architecture Analysis Tools","Karppinen, K.; Lindvall, M.; Yonkwa, L.","VTT Tech. Res. Centre of Finland, Espoo","Software Testing Verification and Validation Workshop, 2008. ICSTW '08. IEEE International Conference on","9-11 April 2008","2008","","","262","268","Hidden functionality in software is a big problem, because we cannot be sure that the software does not contain malicious code. We conducted an experiment where we studied the relationship between architecture constructs, dynamic behavior and security vulnerabilities. We also studied to what extent architecture analysis tools can assist in detecting security vulnerabilities that are caused by architecture violations. Using the tool, we were able to capture the dynamic pattern of a user breaking in to the system using the back door. Based on the dynamic information in combination with the static information, we obtained a good picture of the ""visual image"" of the back door. Such ""visual images"" can be used to detect vulnerabilities and ultimately help to design software architectures that meet their security requirements.","","978-0-7695-3388-9","","10.1109/ICSTW.2008.14","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4567018","","Best practices;Computer architecture;Documentation;Information security;Software architecture;Software engineering;Software maintenance;Software testing;Software tools;Visualization","security of data;software architecture;software tools","hidden functionality;security vulnerabilities detection;software architecture analysis tools;software architecture design;visual image","","","","3","","9","","","20080716","","IEEE","","IEEE Conference Publications"
"Directions in modelling large-scale software architectures","Grundy, John; Hosking, J.","Dept. of Comput. Sci., Auckland Univ., New Zealand","Software Methods and Tools, 2000. SMT 2000. Proceedings. International Conference on","2000","2000","","","31","40","Modelling the software architectures of large systems is a challenging task. A wide variety of abstractions are required by developers to assist them in describing and analysing such architectures, including information about the components and relationships that comprise a system, the static and dynamic structure of the system, and the behavioural responsibilities of components of the system. In addition, good tool support is needed to provide modelling, analysis, design and code generation, and reverse engineering facilities. This paper analyses several architectural modelling approaches and their tools. Deficiencies with these current approaches are used to motivate a synthesised modelling approach and appropriate tool support","","0-7695-0903-7","","10.1109/SWMT.2000.890418","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=890418","","Application software;Collaboration;Collaborative software;Computer architecture;Large-scale systems;Middleware;Reverse engineering;Software architecture;System analysis and design;Visualization","large-scale systems;reverse engineering;software architecture;software tools;systems analysis","abstractions;behavioural responsibilities;code generation;dynamic structure;large-scale software architecture modelling;reverse engineering facilities;software tool support;static structure;synthesised modelling approach;system components;system design;systems analysis","","","","2","","22","","","20020806","06 Nov 2000-09 Nov 2000","IEEE","","IEEE Conference Publications"
"Industrially validating longitudinal static and dynamic analyses","Holmes, R.; Notkin, D.; Hancock, M.","Sch. of Comput. Sci., Univ. of Waterloo, Waterloo, ON, Canada","User Evaluation for Software Engineering Researchers (USER), 2012","5-5 June 2012","2012","","","43","44","Software systems gradually evolve over time, becoming increasingly difficult to understand as new features are added and old defects are repaired. Some modifications are harder to understand than others; e.g., an explicit method call is usually easy to trace in the source code, while a reflective method call may perplex both developers and analysis tools. Our tool, the Inconsistency Inspector, collects static and dynamic call graphs of systems and composes them to help developers more systematically address the static and dynamic implications of a change to a system.","","978-1-4673-1858-7","","10.1109/USER.2012.6226582","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226582","","Conferences;Data visualization;Educational institutions;Performance analysis;Runtime;Visualization","graphs;inspection;organisational aspects;program diagnostics;program verification","USER workshop;complex longitudinal data;depth analysis;depth longitudinal evaluation;dynamic analysis;dynamic call graphs;dynamic implications;explicit method;inconsistency inspector;industrial data;industrial organization;industrial utility;industrially validating longitudinal static analysis;reflective method call;software systems;source code;static call graphs;static implications;system change;systems graphs","","","","2","","3","","","20120628","","IEEE","","IEEE Conference Publications"
"CPP2XMI: Reverse Engineering of UML Class, Sequence, and Activity Diagrams from C++ Source Code","Korshunova, E.; Petkovic, M.; van den Brand, M.G.J.; Mousavi, M.R.","Lab. for Quality Software, Technische Universiteit Eindhoven","Reverse Engineering, 2006. WCRE '06. 13th Working Conference on","Oct. 2006","2006","","","297","298","In most cases, reverse engineering is used to retrieve missing design documentation from the source code in the form of an abstract (e.g., UML) model. In the context of this work, reverse engineering is used as a part of the verification and validation chain of software systems, where the static structure and the dynamic behavior of a system are derived from the source code and represented in XML Metadata Interchange (XMI) format. The obtained model is further analyzed for such characteristics as soundness and complexity of the system. XMI is a standard that enables us to express objects using Extensible Markup Language (XML). XMI can be used to represent objects from UML model in XML. In this paper, we describe a reverse engineering tool, CPP2XMI, which allows extracting UML class, sequence, and activity diagrams in XMI format from C++ source code, and its position in the toolset for software system analysis","1095-1350","0-7695-2719-1","","10.1109/WCRE.2006.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024002","","Computer aided software engineering;Data mining;Information filtering;Information filters;Reverse engineering;Software systems;US Department of Transportation;Unified modeling language;Visualization;XML","C++ language;Unified Modeling Language;XML;program diagnostics;program verification;reverse engineering","C++ source code;CPP2XMI;Extensible Markup Language;UML activity diagram;UML class;UML sequence;XML Metadata Interchange;reverse engineering;software system analysis;software systems validation;software systems verification","","","","6","","7","","","20061211","","IEEE","","IEEE Conference Publications"
"A Hybrid Query Engine for the Structural Analysis of Java and AspectJ Programs","Ghanbari, H.; Constantinides, C.; Arnaoudova, V.","Dept. of Comput. Sci. & Software Eng., Concordia Univ., Montreal, QC","Reverse Engineering, 2008. WCRE '08. 15th Working Conference on","15-18 Oct. 2008","2008","","","133","137","Graphical representation has long been used in the domain of software engineering to provide comprehension aids. Generic and query-based code browsers have contributed towards program comprehension through the provision of high-level customized structural views of the source code. Some research has already focused on combining the advantages of the two techniques through the representation of high-level query-based views using different data visualization techniques. However, little has been done towards the visualization of the query composition process itself. In this paper we develop a query engine for software structural analysis which provides a visual query interface over a high-level textual query language to eliminate the requirement for understanding the query language syntax. Our implementation is provided as an Eclipse plug-in, namely HyQ4J (which stands for hybrid query for Java).","1095-1350","978-0-7695-3429-9","","10.1109/WCRE.2008.52","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4656402","Java;codebase;maintenance;query;static analysis;visualization","Computer science;Data visualization;Database languages;Engines;Java;Proposals;Reverse engineering;Software engineering;Software maintenance;Visual databases","Java;object-oriented programming;query languages","AspectJ program;Java;high-level textual query language;hybrid query engine;software structural analysis;visual query interface","","","","0","","26","","","20081024","","IEEE","","IEEE Conference Publications"
"SPLAT: a standard-to-standard real-time graphical scheduling and code generation tool","Van Der Westhuizen, M.J.; Harley, R.G.; Levy, D.C.","Dept. of Electr. Eng., Natal Univ., South Africa","Modeling, Analysis, and Simulation of Computer and Telecommunication Systems, 1995. MASCOTS '95., Proceedings of the Third International Workshop on","18-20 Jan 1995","1995","","","432","435","The paper reports on the development of a software tool which permits the design of real-time systems with the use of standard CAD software. The real-time software is thus in the form of block diagrams which represent optimized function or macros and allows seamless hardware co-design. By using a cyclo-static scheduling model, kernel-less multirate and parallel C code is produced automatically. The software also produces Ganti charts which provide visualization of the real-time behaviour","","0-8186-6902-0","","10.1109/MASCOT.1995.378654","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=378654","","Automatic control;Communication system control;Control systems;Hardware;Parallel processing;Programming;Real time systems;Sampling methods;Switches;Timing","CAD;automatic programming;computer graphics;parallel programming;real-time systems;scheduling;software tools","Ganti charts;SPLAT;block diagrams;code generation tool;cyclo-static scheduling model;kernel-less multirate;macros;optimized function;parallel C code;real-time behaviour visualization;real-time systems design;seamless hardware co-design;software tool;standard CAD software;standard-to-standard real-time graphical scheduling","","","","0","","3","","","20020806","18 Jan 1995-20 Jan 1995","IEEE","","IEEE Conference Publications"
"Enhancing program comprehension with recovered state models","Some, S.S.; Lethbridge, T.C.","Sch. of Inf. Technol. & Eng., Ottawa, Ont., Canada","Program Comprehension, 2002. Proceedings. 10th International Workshop on","2002","2002","","","85","93","State transition machines are high-level behavior descriptions often used as modeling tools for the design and implementation of a large class of software systems. Some of the state transition machine implementation approaches are such that the static structure of the resulting code closely matches that of the original state transition machines. Therefore, having a representation of the original state transition machines is likely to improve the corresponding code understandability. We present an approach supported by a prototype tool, to extract state transition machines by static analysis of source code. An objective of this work is to enhance program comprehension with visual representations of the behavior of the programs being analyzed.","1092-8138","0-7695-1495-2","","10.1109/WPC.2002.1021325","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021325","","Data mining;Design engineering;Information technology;Navigation;Object oriented modeling;Prototypes;Software maintenance;Software prototyping;Software systems;Software tools","graph theory;program diagnostics;program visualisation;reverse engineering","code understandability;high-level behavior descriptions;modeling tools;program comprehension;recovered state models;software systems;source code;state transition machines;static analysis;static structure;visual representations","","","","2","","","","","20021210","","IEEE","","IEEE Conference Publications"
"Maintenance tools","Oman, P.; Novobilski, A.; Rajlich, V.; Harband, J.; McCabe, T., Jr.; Cross, J., II; Vanek, L.; Davis, L.; Gallagher, K.; Wilde, N.","Idaho Univ., Moscow, ID, USA","Software, IEEE","May 1990","1990","7","3","59","65","After a brief overview, eight tools to help the maintenance programmer analyze and understand code are described in separate presentations. All of them are code-visualization tools. However, while all these tools show how a program is structured, they use different means to achieve different ends. The tools covered are: Objective-C Browser; Vifor; Seela; Battle Map; Act; Grasp/Ada; Expert Dataflow and Static Analysis; Surgeon's Assistant; and Dependency Analysis Tool Set;.<<ETX>>","0740-7459","","","10.1109/52.55229","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=55229","","Costs;Debugging;Displays;Graphical user interfaces;Skeleton;Software tools;Sun;Visual databases;Workstations","software engineering","Act;Battle Map;Dependency Analysis Tool Set;Expert Dataflow;Grasp/Ada;Objective-C Browser;Seela;Static Analysis;Surgeon's Assistant;Vifor;code-visualization tools;maintenance programmer;maintenance tools","","","","10","","","","","20020806","","IEEE","IEEE Computer Society","IEEE Journals & Magazines"
"Combining static and dynamic analysis of concurrent programs","Anger, F.D.; Rodriguez, R.V.; Young, M.","Div. of Comput. Sci., Univ. of West Florida, Pensacola, FL, USA","Software Maintenance, 1994. Proceedings., International Conference on","19-23 Sep 1994","1994","","","89","98","Concurrent systems are inherently more difficult to analyze and visualize than sequential programs. The difficulty of producing correct concurrent programs is mirrored in maintenance as difficulty in extracting a correct high-level model of task interactions and predicting the effect of a modification to portions of a system. We advocate a methodology that combines static analysis of an abstract model with dynamic analysis of source code. While the abstract model is is amenable to exhaustive analysis, dynamic analysis is capable checking richer classes of specifications, and moreover provides a check on the correctness of simplifications and assumptions inherent in abstract models. We illustrate this approach by combining two tools, the PAL system for compositional reachability analyses and the FORESEE analysis tool for temporal analysis of runtime traces, applied to a simulation scenario","","0-8186-6330-8","","10.1109/ICSM.1994.336786","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=336786","","Computer-aided software engineering;Parallel programming;Software debugging;Software design/development;Software maintenance;Software requirements and specifications;Software verification and validation;System analysis and design","formal specification;parallel programming;program debugging;program verification;software maintenance;software tools;systems analysis","FORESEE;PAL system;abstract models;analysis tool;concurrent programs;dynamic analysis;high-level model;methodology;program analysis;program visualization;reachability analyses;runtime traces;sequential programs;simulation;software maintenance;source code;specifications;static analysis;task interactions;temporal analysis","","","","0","2","41","","","20020806","19 Sep 1994-23 Sep 1994","IEEE","","IEEE Conference Publications"
"Alborz: An Interactive Toolkit to Extract Static and Dynamic Views of a Software System","Sartipi, K.; Ye, L.; Safyallah, H.","Dept of Comput. & Software, McMaster Univ., Hamilton, Ont.","Program Comprehension, 2006. ICPC 2006. 14th IEEE International Conference on","0-0 0","2006","","","256","259","Alborz is a multi-view, interactive, and wizard-based software architecture reconstruction and evaluation toolkit that takes advantage of the Eclipse plug-in technology to provide feature extensibility, and uses GXL format to interoperate with other reverse engineering tools. The current version of Alborz toolkit supports static and dynamic views of a software system. For the static view, the toolkit extracts the structure of a software system using wizard-guided forms that allow to define the high-level view of the system. The static view represents abstract components and connectors which are then mapped onto the low-level source graph to find approximate matching within the software system. For the dynamic view, the toolkit extracts high-frequent execution patterns by running feature specific task scenarios on the software system. Subsequently, the implementations of the software features in the source code are identified as a means to evaluate the structure of software. The toolkit will be available as an Eclipse plug-in to serve the software reverse engineering community","1092-8138","0-7695-2601-2","","10.1109/ICPC.2006.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631131","","Connectors;Councils;Information analysis;Java;Packaging;Reverse engineering;Software architecture;Software systems;Software tools;Visualization","object-oriented programming;program diagnostics;reverse engineering;software architecture","Alborz interactive toolkit;Eclipse plug-in technology;GXL format;abstract component;software architecture reconstruction;software reverse engineering tool;software system;static analysis","","","","1","","10","","","20060626","","IEEE","","IEEE Conference Publications"
"Proceedings First International Workshop on Visualizing Software for Understanding and Analysis","","","Visualizing Software for Understanding and Analysis, 2002. Proceedings. First International Workshop on","26-26 June 2002","2002","","","","","The following topics are dealt with: visualizing software for understanding and analysis; view definitions; UML collaboration diagram syntax; class diagrams; task oriented view; component-based software; analogical representations; metrics-based 3D visualization; object oriented software; and data flow.","","0-7695-1662-9","","10.1109/VISSOF.2002.1019788","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019788","","Object oriented programming;Reverse engineering;System analysis and design","object-oriented programming;program visualisation;reverse engineering;systems analysis","CONCEPT project;UML collaboration diagram syntax;aesthetics;algorithm visualizations;analogical representations;class diagrams;component-based software;data flow;dynamic visualization techniques;language-independent multiple-view program comprehension;language-independent multiple-view program editing;large object-oriented programs;metrics-based 3D visualization;program points;runtime visualisation;software analysis;software understanding;software visualization;source code analysis;static visualization techniques;task oriented view;view definitions;visual execution","","","","0","","","","","20020807","","IEEE","","IEEE Conference Publications"
"A lightweight visualization of interprocedural data-flow paths for source code reading","Ishio, T.; Etsuda, S.; Inoue, K.","Grad. Sch. of Inf. Sci. & Technol., Osaka Univ., Suita, Japan","Program Comprehension (ICPC), 2012 IEEE 20th International Conference on","11-13 June 2012","2012","","","37","46","To understand the behavior of a program, developers must read source code fragments in various modules. For developers investigating data-flow paths among modules, a call graph is too abstract since it does not visualize how parameters of method calls are related to each other. On the other hand, a system dependence graph is too fine-grained to investigate interprocedural data-flow paths. In this research, we propose an intermediate-level of visualization; we visualize interprocedural data-flow paths among method parameters and fields with summarized intraprocedural data-flow paths. We have implemented our visualization as an Eclipse plug-in for Java. The tool comprises a lightweight data-flow analysis and an interactive graph viewer using fractal value to extract a small subgraph of data-flow related to variables specified by a developer. A case study has shown our visualization enabled developers to investigate more data-flow paths in a fixed time slot. In addition, we report our lightweight data-flow analysis can generate precise data-flow paths for 98% of Java methods.","1092-8138","978-1-4673-1213-4","978-1-4673-1215-8","10.1109/ICPC.2012.6240506","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240506","data-flow analysis;program comprehension;software visualization;static analysis","Approximation methods;Arrays;Control systems;Data visualization;Java;Software;Visualization","Java;data flow analysis;data flow graphs;data visualisation;reverse engineering;source coding","Eclipse plug-in;Java methods;call graph;data-flow analysis;data-flow subgraph;fractal value;interactive graph viewer;interprocedural data-flow paths;lightweight visualization;program behavior understanding;source code fragments;source code reading;system dependence graph;visualization intermediate-level","","","","0","","23","","","20120716","","IEEE","","IEEE Conference Publications"
"YARN: Animating Software Evolution","Hindle, A.; Zhen Ming Jiang; Koleilat, W.; Godfrey, M.W.; Holt, R.C.","Univ. of Waterloo, Waterloo","Visualizing Software for Understanding and Analysis, 2007. VISSOFT 2007. 4th IEEE International Workshop on","24-25 June 2007","2007","","","129","136","A problem that faces the study of software evolution is how to explore the aggregated and cumulative effects of changes that occur within a software system over time. In this paper we describe an approach to modeling, extracting, and animating the architectural evolution of a software system. We have built a prototype tool called YARN (yet another reverse-engineering narrative) that implements our approach; YARN mines the source code changes of the target system, and generates YARN ""balls"" (animations) that a viewer can unravel (watch). The animation is based on a static layout of the modules connected by animated edges that model the changing dependencies. The edges can be weighted by the number of dependencies or the importance of the change. We demonstrate our approach by visualizing the evolution of PostgreSQL DBMS.","","1-4244-0600-5","1-4244-0600-5","10.1109/VISSOF.2007.4290711","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4290711","","Cognitive science;Computer architecture;Data visualization;Facial animation;Prototypes;Software architecture;Software prototyping;Software systems;Watches;Yarn","computer animation;program visualisation;reverse engineering;software architecture;software prototyping","PostgreSQL DBMS;YARN prototype tool;evolution animation;software system architectural evolution;yet another reverse-engineering narrative tool","","","","3","","24","","","20070820","","IEEE","","IEEE Conference Publications"
"A Tool for Visual Understanding of Source Code Dependencies","Pinzger, M.; Grafenhain, K.; Knab, P.; Gall, H.C.","Dept. of Inf., Univ. of Zurich, Zurich","Program Comprehension, 2008. ICPC 2008. The 16th IEEE International Conference on","10-13 June 2008","2008","","","254","259","Many program comprehension tools use graphs to visualize and analyze source code. The main issue is that existing approaches create graphs overloaded with too much information. Graphs contain hundreds of nodes and even more edges that cross each other. Understanding these graphs and using them for a given program comprehension task is tedious, and in the worst case developers stop using the tools. In this paper we present DA4Java, a graph-based approach for visualizing and analyzing static dependencies between Java source code entities. The main contribution of DA4Java is a set of features to incrementally compose graphs and remove irrelevant nodes and edges from graphs. This leads to graphs that contain significantly fewer nodes and edges and need less effort to understand.","1092-8138","978-0-7695-3176-2","","10.1109/ICPC.2008.23","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556140","Incremental Source Code Analysis;Program Comprehension;Software Visualization;Source Code Dependencies","Costs;Data mining;Informatics;Information filtering;Information filters;Java;Packaging;Software maintenance;Software systems;Visualization","Java;graph theory;program visualisation;reverse engineering","DA4Java;Java source code;graph-based approach;program comprehension tools;source code dependencies;visual understanding","","","","7","","16","","","20080702","","IEEE","","IEEE Conference Publications"
